S	SX	SZ	SY
0.	1.1813	0.4073	0.65905
0.01	1.1807	0.40643	0.6588
0.02	1.1791	0.40421	0.65663
0.03	1.1771	0.40176	0.65432
0.04	1.175	0.39923	0.65196
0.05	1.1729	0.39671	0.64961
0.06	1.1708	0.39418	0.64725
0.07	1.1686	0.39166	0.6449
0.08	1.1665	0.38913	0.64254
0.09	1.1644	0.3866	0.64019
0.1	1.1623	0.38408	0.63783
0.11	1.1602	0.38156	0.63549
0.12	1.1582	0.37909	0.63319
0.13	1.1562	0.37662	0.6309
0.14	1.1542	0.37414	0.6286
0.15	1.1523	0.37181	0.62656
0.16	1.1505	0.37031	0.62598
0.17	1.1488	0.36881	0.62541
0.18	1.1471	0.36731	0.62483
0.19	1.1455	0.3659	0.62428
0.2	1.1439	0.36452	0.62373
0.21	1.1423	0.36314	0.62317
0.22	1.1407	0.36177	0.62262
0.23	1.1393	0.36042	0.62207
0.24	1.138	0.35921	0.6215
0.25	1.1368	0.358	0.62093
0.26	1.1355	0.35679	0.62036
0.27	1.1343	0.35558	0.6198
0.28	1.1331	0.35443	0.61928
0.29	1.1323	0.3538	0.61916
0.3	1.1316	0.35317	0.61904
0.31	1.1308	0.35254	0.61893
0.32	1.1301	0.3519	0.61881
0.33	1.1293	0.35127	0.61869
0.34	1.1286	0.35064	0.61857
0.35	1.1278	0.35001	0.61846
0.36	1.1271	0.34937	0.61834
0.37	1.1263	0.34874	0.61822
0.38	1.1256	0.3481	0.61811
0.39	1.1245	0.34736	0.61809
0.4	1.1235	0.34663	0.61807
0.41	1.1228	0.34601	0.61796
0.42	1.1228	0.34595	0.61788
0.43	1.1228	0.34588	0.61782
0.44	1.1228	0.34582	0.61771
0.45	1.1225	0.34569	0.61775
0.46	1.1222	0.34556	0.6178
0.47	1.122	0.34543	0.61785
0.48	1.1217	0.3453	0.6179
0.49	1.1215	0.34517	0.61795
0.5	1.1212	0.34504	0.61799
0.51	1.1209	0.34491	0.61804
0.52	1.1207	0.34478	0.61809
0.53	1.1204	0.34465	0.61814
0.54	1.1201	0.34452	0.61819
0.55	1.1203	0.34475	0.61834
0.56	1.1207	0.34516	0.61853
0.57	1.1211	0.34557	0.61873
0.58	1.1215	0.34598	0.61892
0.59	1.1219	0.34639	0.61912
0.6	1.1224	0.34683	0.61927
0.61	1.1232	0.34735	0.61926
0.62	1.1239	0.34788	0.61925
0.63	1.1247	0.34841	0.61924
0.64	1.1255	0.34894	0.61922
0.65	1.1263	0.34946	0.61921
0.66	1.1272	0.35003	0.61913
0.67	1.1281	0.35062	0.61901
0.68	1.129	0.35121	0.61889
0.69	1.1302	0.35205	0.61894
0.7	1.1317	0.35321	0.61921
0.71	1.1332	0.35436	0.61947
0.72	1.1347	0.35551	0.61973
0.73	1.1362	0.35665	0.62001
0.74	1.1371	0.35766	0.62043
0.75	1.1381	0.35867	0.62085
0.76	1.1391	0.35968	0.62127
0.77	1.1401	0.36069	0.62169
0.78	1.1411	0.3617	0.62212
0.79	1.1421	0.3627	0.62254
0.8	1.1431	0.36371	0.62296
0.81	1.1441	0.36472	0.62338
0.82	1.1458	0.36635	0.62417
0.83	1.1481	0.36854	0.62531
0.84	1.1504	0.37074	0.62646
0.85	1.1527	0.37294	0.6276
0.86	1.1551	0.37513	0.62875
0.87	1.1574	0.37754	0.63079
0.88	1.1598	0.38006	0.63332
0.89	1.1622	0.38259	0.63585
0.9	1.1645	0.38512	0.63838
0.91	1.1669	0.38764	0.64092
0.92	1.1693	0.39017	0.64345
0.93	1.1716	0.39269	0.64598
0.94	1.174	0.39522	0.64851
0.95	1.1764	0.39775	0.65105
0.96	1.1788	0.40027	0.65358
0.97	1.1811	0.4028	0.65611
0.98	1.1835	0.40532	0.65864
0.99	1.1858	0.40776	0.661
1.	1.1868	0.4086	0.66231

